"query","tags","ONTOLOGY_ID","ONTOLOGY_term","eval","score","method","version","to_check"
"diarrhea","disease","DOID:13250","diarrhea",1,100,"exact,term",2024,"False"
"diarrhea , colitis","disease","DOID:13250,DOID:0060180","colitis",0,-1,"manual",2024,"False"
"diarrhea , enteritis","disease","DOID:13250,DOID:5295","diarrhea",0,-1,"manual",2024,"False"
"diarrhea , pneumonia","disease","DOID:13250,DOID:552","diarrhea,pneumonia",0,-1,"manual",2024,"False"
"diarrhea caused by clostridium difficile","disease","DOID:13250","diarrhea",0,100,"token_set_ratio,term",2024,"False"
"diarrhea caused clostridium difficile","disease","DOID:13250",,1,100,"token_set_ratio,term",2024,"False"
"diarrhea, colitis","disease","DOID:13250,DOID:0060180",,0,-1,"manual",2024,"False"
"diarrhea, enteritis","disease,symptom","DOID:13250,DOID:5295,SYMP:0000039","diarrhea,intestinal disease,enteritis",0,-1,"manual",2024,"False"
"diarrhea, pneumonia","disease","DOID:13250,DOID:552",,0,-1,"manual",2024,"False"
"diarrhea/bloody diarrhea","disease","DOID:13250","diarrhea",1,100,"token_set_ratio,term",2024,"False"
"diarrhear","disease","DOID:13250","diarrhea",1,94.1176470588235,"wratio,term",2024,"False"
"diarrhoea","disease","DOID:13250","diarrhea",1,100,"wratio,exact_synonym",2024,"False"
"died",,-1,,1,-1,"not_assigned",2024,"False"
"different infection","disease","DOID:0050117","disease infectious agent",0,-1,"manual",2024,"False"
"different infections","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"difficulty breathing","symptom","SYMP:0019153","dyspnea",1,100,"wratio,exact_synonym",2024,"False"
"difficulty in breathing","symptom","SYMP:0019153",,1,100,"wratio,exact_synonym",2024,"False"
"diffusal diarrhea","disease","DOID:13250","diarrhea",1,100,"token_set_ratio,term",2024,"False"
"diphtheria","disease","DOID:11405","diphtheria",1,100,"exact,term",2024,"False"
"disease","disease","DOID:4","disease",1,100,"exact,term",2024,"False"
"disease carrier","disease","DOID:4","disease",1,100,"token_set_ratio,term",2024,"False"
"diseased","disease","DOID:4","disease",1,93.3333333333333,"wratio,term",2024,"False"
"diverticular disease intestine","disease","DOID:5295","disease",0,-1,"manual",2024,"False"
"diverticular disease of intestine","disease","DOID:7475",,1,-1,"manual",2024,"False"
"double kidney seeper",,-1,,1,-1,"not_assigned",2024,"False"
"downer cow syndrome","disease","DOID:225","syndrome",1,100,"token_set_ratio,term",2024,"True"
"drainage",,-1,,1,100,"token_set_ratio,term",2024,"False"
"duodenal ulcer","disease","DOID:1724","duodenal ulcer",1,100,"exact,term",2024,"False"
"dysentery","disease","DOID:12384","dysentery",1,100,"exact,term",2024,"False"
"dyskinesia","disease","DOID:9562","primary ciliary dyskinesia",0,-1,"manual",2024,"False"
"dyspnea","symptom","SYMP:0019153","dyspnea",1,100,"exact,term",2024,"False"
"e. coli yolk sac infection","disease","DOID:104",,1,-1,"manual",2024,"False"
"ear infection","disease","DOID:2742,DOID:0050117","otitis interna",0,-1,"manual",2024,"True"
"early childhood caries","disease","DOID:216",,0,-1,"manual",2024,"False"
"eczema herpeticum","disease","DOID:9123","eczema herpeticum",1,100,"exact,term",2024,"False"
"edema disease","disease,symptom","DOID:4,SYMP:0000538",,0,-1,"manual",2024,"False"
"edwardsiella ictaluri infection","disease","DOID:104",,1,-1,"manual",2024,"False"
"edwardsiellosis","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"elbow abscess","symptom","SYMP:0000672","abscess",1,100,"token_set_ratio,term",2024,"False"
"empyema thoracis","disease","DOID:3798","pleural empyema",1,100,"token_set_ratio,exact_synonym",2024,"False"
"encephalorrhagia","disease","DOID:4372",,1,-1,"manual",2024,"False"
"end stage",,-1,,0,-1,"manual",2024,"False"
"end stage renal disease ( esrd )","disease","DOID:783","end stage renal disease",1,95,"wratio,term",2024,"False"
"end stage renal disease (esrd)","disease","DOID:783","end stage renal disease",0,95,"wratio,term",2024,"False"
"endocarditis","disease","DOID:10314","endocarditis",1,100,"exact,term",2024,"False"
"endodontic infection","disease","DOID:1091,DOID:0050117",,0,-1,"manual",2024,"False"
"endometritis","disease","DOID:1002","endometritis",1,100,"exact,term",2024,"False"
"endophthalmitis","disease","DOID:4692","endophthalmitis",1,100,"exact,term",2024,"False"
"endotracheal aspirate","ecosystem",-1,,1,-1,"not_assigned",2024,"False"
"endstage liver disease","disease","DOID:409","liver disease",1,100,"token_set_ratio,term",2024,"False"
"eneterococcus faecalis","disease","DOID:104",,1,-1,"manual",2024,"False"
"ent surgery ( not chronic rhinosinusitis )","disease","DOID:4",,0,-1,"manual",2024,"False"
"enteric colibacillosis","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"enteric fever","symptom","SYMP:0000613","fever",1,100,"token_set_ratio,term",2024,"False"
"enteritis","disease,symptom","DOID:5295,SYMP:0000039","intestinal disease,enteritis",0,-1,"manual",2024,"False"
"enterobacter bacteremia","disease","DOID:104",,1,-1,"manual",2024,"False"
"enterococcal urinary tract infection","disease","DOID:0080784","urinary tract infection",1,100,"token_set_ratio,term",2024,"False"
"enterococcus bacteremia","disease","DOID:104",,1,-1,"manual",2024,"False"
"enterococcus faecium","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"enterococcus faecium infection","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"enterococcus infection","disease","DOID:104",,1,-1,"manual",2024,"False"
"enterohemorrhagic escherichia coli","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"epilepsy , coma , pulmonary infection","disease,symptom","DOID:1826,SYMP:0000605,DOID:850,DOID:0050117",,0,-1,"manual",2024,"True"
"epilepsy, coma, and pulmonary infection","disease","DOID:1826","epilepsy",1,100,"token_set_ratio,term",2024,"False"
"erythema","symptom","SYMP:0000487","rash",1,100,"wratio,exact_synonym",2024,"False"
"erythrococcosis","disease","DOID:104",,1,-1,"manual",2024,"False"
"erythrodermic psoriasis","disease","DOID:8893","psoriasis",1,100,"token_set_ratio,term",2024,"False"
"escherichia coli","disease","DOID:104",,1,-1,"manual",2024,"False"
"escherichia coli [ e. coli ] cause disease classified elsewhere","disease","DOID:104","disease",0,100,"token_set_ratio,term",2024,"True"
"escherichia coli [e. coli] as the cause of diseases classified elsewhere","disease","DOID:104",,1,-1,"manual",2024,"False"
"escherichia coli infection","disease","DOID:104",,1,-1,"manual",2024,"False"
"esophageal tumor","disease","DOID:5041","malignant granular cell esophageal tumor",0,100,"token_set_ratio,term",2024,"False"
"esophagus cancer","disease","DOID:5041","esophageal cancer",1,100,"wratio,exact_synonym",2024,"False"
"etec gastroenteritis","disease,encoded_trait","DOID:2326","gastroenteritis",1,95,"wratio,term",2024,"True"
"etec infection","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"expired",,-1,,0,-1,"not_assigned",2024,"False"
"extra-intestinal infection","disease","DOID:100","intestinal infectious disease",1,-1,"manual",2024,"False"
"extraintestinal infection","disease","DOID:77,DOID:0050117","gastrointestinal system disease,disease infectious agent",0,-1,"manual",2024,"False"
"exudative epidermitis","disease","DOID:104,DOID:37",,0,-1,"manual",2024,"False"
"eye discharge","symptom","SYMP:0000281","eye discharge",1,100,"exact,term",2024,"False"
"eye disease","disease","DOID:5614","eye disease",1,100,"exact,term",2024,"False"
"eye enucleation","disease","DOID:5614",,0,-1,"manual",2024,"False"
"facial abscessus","symptom","SYMP:0000672","abscess",0,-1,"manual",2024,"False"
"far east scarletlike fever","symptom","SYMP:0000613","fever",1,100,"token_set_ratio,term",2024,"False"
"fasciitis , necrotizing","disease","DOID:9602","necrotizing fasciitis",1,95,"wratio,term",2024,"False"
"fasciitis, necrotizing","disease","DOID:9602","necrotizing fasciitis",0,95,"wratio,term",2024,"False"
"favorable",,-1,,1,-1,"not_assigned",2024,"False"
"febrile illness invasive severe pancolitis","disease","DOID:0060180","colitis",0,-1,"manual",2024,"False"
"febrile ilness after i. scapularis tick-bite","disease","DOID:0050117,DOID:11104",,0,-1,"manual",2024,"False"
"febrile ilness i. scapularis tickbite","disease,ecosystem","DOID:0050338",,0,-1,"manual",2024,"False"
"fecal carriage","ecosystem",-1,,0,-1,"manual",2024,"False"
"fever","symptom","SYMP:0000613","fever",0,-1,"manual",2024,"False"
"fever of unknown origin","symptom","SYMP:0000613","fever",0,100,"token_set_ratio,term",2024,"False"
"fever unknown origin","symptom","SYMP:0000613","fever",0,100,"token_set_ratio,term",2024,"False"
"fire blight","disease","DOID:104",,0,-1,"manual",2024,"False"
"fistulated udder abscess","symptom","SYMP:0000672","abscess",0,100,"token_set_ratio,term",2024,"False"
"focal infection","disease","DOID:0050117",,1,-1,"manual",2024,"False"
"food poisoning","symptom","DOID:96","toxemia",1,-1,"manual",2024,"True"
"food-poisoning","disease","DOID:96","staphyloenterotoxemia",0,-1,"manual",2024,"False"
"foodpoisoning","disease","DOID:96",,0,-1,"manual",2024,"False"
"foot laceration , dog bite wound urinary tract infection","disease","DOID:0080784","urinary tract infection",1,100,"token_set_ratio,term",2024,"False"
"foot lacerations, dog bite wounds and urinary tract infections","disease","DOID:0080784",,0,100,"token_set_ratio,term",2024,"False"
"foreign body",,-1,,1,-1,"not_assigned",2024,"False"
"fracture","disease","DOID:0080001","bone disease",0,-1,"manual",2024,"False"
"fracture , pulmonary embolism ( pe ) , atrial fibrillation ( af ) , chronic renal failure ( crf ) acute respiratory failure ( arf )","disease","DOID:0080001,DOID:9477,DOID:0060224,DOID:784,DOID:11162",,0,-1,"manual",2024,"True"
"fracture fixation infection","disease","DOID:0080001,DOID:0050117","bone disease,disease infectious agent",0,-1,"manual",2024,"False"
"fry",,-1,,1,-1,"not_assigned",2024,"False"
"gallbladder carcinoma","disease","DOID:4948","gallbladder carcinoma",1,100,"exact,term",2024,"False"
"gallstone","disease","DOID:0060262",,1,-1,"manual",2024,"False"
"gaslrointestinal perforation","disease","DOID:2074","intestinal perforation",1,-1,"manual",2024,"False"
"gasteroenteritis","disease","DOID:2326","gastroenteritis",1,96.7741935483871,"wratio,term",2024,"False"
"gastric cancer","disease","DOID:10534","stomach cancer",1,100,"wratio,exact_synonym",2024,"False"
"gastric remnant cancer","disease","DOID:10534","stomach cancer",1,-1,"manual",2024,"False"
"gastric ulcer","disease","DOID:10808","gastric ulcer",1,100,"exact,term",2024,"False"
"gastric ulcers","disease","DOID:10808","gastric ulcer",1,100,"exact,term",2024,"False"
"gastritis","disease","DOID:4029","gastritis",1,100,"exact,term",2024,"False"
"gastritis duodenitis","disease","DOID:8644","gastritis",0,-1,"manual",2024,"False"
"gastroenteritis","disease","DOID:2326",,1,100,"exact,term",2024,"False"
"gastroenteritis , diarrhea , uti , pneumonia , food poisoning","disease","DOID:2326,DOID:13250,DOID:0080784,DOID:552,DOID:96","gastroenteritis,diarrhea,urinary tract infection,pneumonia,staphyloenterotoxemia",0,-1,"manual",2024,"False"
"gastroenteritis escherichia coli","disease","DOID:2326","gastroenteritis",1,100,"token_set_ratio,term",2024,"False"
"gastroenteritis, diarrhea, uti, pneumonia, food poisoning","disease","DOID:2326,DOID:13250,DOID:0080784,DOID:552,DOID:96","gastroenteritis,diarrhea,urinary tract infection,pneumonia,staphyloenterotoxemia",0,-1,"manual",2024,"False"
"gastrointestinal bleeding","symptom","DOID:77,SYMP:0000867","gastrointestinal bleeding",0,-1,"manual",2024,"True"
"gastrointestinal disorder","disease","DOID:77","gastrointestinal system disease",1,100,"wratio,exact_synonym",2024,"False"
"gastrointestinal illnes","disease","DOID:77","gastrointestinal system disease",1,-1,"manual",2024,"False"
"gastrointestinal infection","disease","DOID:2326,DOID:0050117","gastroenteritis,disease infectious agent",0,-1,"manual",2024,"False"
"gastrointestinal system disease","disease","DOID:77","gastrointestinal system disease",1,100,"exact,term",2024,"False"
"gatroenteritis","disease","DOID:2326","gastroenteritis",1,96.551724137931,"wratio,term",2024,"False"
"gestroenteritis","disease","DOID:2326","gastroenteritis",1,93.3333333333333,"wratio,term",2024,"False"
"gingivitis","disease","DOID:3087","gingivitis",1,100,"exact,term",2024,"False"
"gonorrhea","disease","DOID:7551","gonorrhea",1,100,"exact,term",2024,"False"
"gonorrhoea","disease","DOID:7551","gonorrhea",1,94.7368421052632,"wratio,term",2024,"False"
"grapevine yellow","disease","DOID:4","disease",0,-1,"manual",2024,"False"
"grapevine yellows","disease","DOID:104",,1,-1,"manual",2024,"False"
"guillain barré syndrome","disease","DOID:12842","guillainbarre syndrome",1,93.3333333333333,"wratio,term",2024,"False"
"guillain-barre syndrome","disease","DOID:12842","guillainbarre syndrome",1,100,"exact,term",2024,"False"
"guillainbarre syndrome","disease","DOID:12842","guillainbarre syndrome",1,100,"exact,term",2024,"False"
"gut colonization",,-1,,1,-1,"not_assigned",2024,"False"
"haemolytic uraemic syndrome","disease","DOID:12554","hemolyticuremic syndrome",1,94.1176470588235,"wratio,term",2024,"False"
"haemolytic uremic syndrome","disease","DOID:12554","hemolyticuremic syndrome",1,96,"wratio,term",2024,"False"
"haemophagocytic lymphohistiocytosis","disease","DOID:0050120","hemophagocytic lymphohistiocytosis",1,98.5507246376812,"wratio,term",2024,"False"
"haemorrhagic septicaemia","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"hard tick-borne relapsing fever (borrelia miyamotoi disease)","disease","DOID:0070527","borrelia miyamotoi disease",0,-1,"manual",2024,"False"
"hard tickborne relapsing fever ( borrelia miyamotoi disease )","disease","DOID:0070527","borrelia miyamotoi disease",1,100,"token_set_ratio,term",2024,"False"
"headache and dizziness","symptom","SYMP:0000504,SYMP:0000610","headache,dizziness",0,-1,"manual",2024,"False"
"headache dizziness","symptom","SYMP:0000504,SYMP:0000610","headache,dizziness",0,-1,"manual",2024,"False"
"health","healthy",-1,,1,-1,"manual",2024,"False"
"healthcare-associated pneumonia","disease","DOID:552","pneumonia",1,100,"token_set_ratio,term",2024,"False"
"healthcareassociated pneumonia","disease","DOID:552","pneumonia",1,100,"token_set_ratio,term",2024,"False"
"healthy","healthy",-1,,1,-1,"not_assigned",2024,"False"
"healthy animal","healthy",-1,,1,-1,"not_assigned",2024,"False"
"healthy cattle , sheep , goat , swine , horse","healthy,ecosystem",-1,,0,-1,"manual",2024,"False"
"healthy cattle, sheep, goats, swine, and horses","healthy,ecosystem",-1,,0,-1,"manual",2024,"False"
"healthy symptomatic cystitis","disease","DOID:1679","cystitis",1,100,"token_set_ratio,term",2024,"False"
"healthy volunteer","healthy",-1,,0,-1,"manual",2024,"False"
"heart disease","disease","DOID:114","heart disease",1,100,"exact,term",2024,"False"
"hematological malignancy","disease","DOID:2531","hematologic cancer",1,95.6521739130435,"wratio,exact_synonym",2024,"False"
"hematopoietic stem cell transplantation","disease","DOID:4961","bone marrow disease",1,-1,"manual",2024,"False"
"hematuria","symptom","SYMP:0000040","hematuria",1,100,"exact,term",2024,"False"
"hemiplegia","disease","DOID:10969","hemiplegia",1,100,"exact,term",2024,"False"
"hemolytic uremic syndrome","disease","DOID:12554","hemolyticuremic syndrome",1,97.9591836734694,"wratio,term",2024,"False"
"hemolytic-uremic syndrome","disease","DOID:12554","hemolyticuremic syndrome",1,100,"exact,term",2024,"False"
"hemolyticuremic syndrome","disease","DOID:12554","hemolyticuremic syndrome",1,100,"exact,term",2024,"False"
"hemorrhagic colitis","disease","DOID:0060180","colitis",1,100,"token_set_ratio,term",2024,"False"
"hemorrhagic colitis , hus","disease","DOID:0060180,DOID:12554","colitis",0,-1,"manual",2024,"False"
"hemorrhagic colitis, hus","disease","DOID:0060180","colitis",0,100,"token_set_ratio,term",2024,"False"
"hepatic abscess","symptom","SYMP:0000295,DOID:409","hepatic abscess",0,-1,"manual",2024,"False"
"hepatitis","disease","DOID:2237","hepatitis",1,100,"exact,term",2024,"False"
"hepatocellular carcinoma","disease","DOID:684","hepatocellular carcinoma",1,100,"exact,term",2024,"False"
"hepatolithiasis","disease","DOID:3118","hepatobiliary disease",1,-1,"manual",2024,"False"
"hepatomegaly severe thrombocytopenia hemorrhagic syndrome","disease,symptom","SYMP:0000460,DOID:1588,DOID:12554",,0,-1,"manual",2024,"True"
"hip abscess","symptom","SYMP:0000672","abscess",1,100,"token_set_ratio,term",2024,"False"
"hip joint infection","disease","DOID:0050117",,1,-1,"manual",2024,"False"
"hip replacement",,-1,,1,-1,"not_assigned",2024,"False"
"hiv","disease","DOID:526","human immunodeficiency virus infectious disease",1,100,"token_set_ratio,exact_synonym",2024,"False"
"ho chi minh",,-1,,1,-1,"not_assigned",2024,"False"
"hock isolate",,-1,,1,-1,"not_assigned",2024,"False"
"homo sapiens","ecosystem",-1,,1,-1,"not_assigned",2024,"False"
"hospital-acquired infection after orthopedic intervention","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"hospital-acquired pneumonia","disease","DOID:552","pneumonia",1,100,"token_set_ratio,term",2024,"False"
"hospitalacquired infection orthopedic intervention","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"hospitalacquired infection surgery","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"hospitalacquired pneumonia","disease","DOID:552","pneumonia",1,100,"token_set_ratio,term",2024,"False"
"hospitalised",,-1,,1,-1,"not_assigned",2024,"False"
"http : //id.nlm.nih.gov/mesh/d000070197",,-1,,1,-1,"not_assigned",2024,"False"
"http://id.nlm.nih.gov/mesh/d000070197",,-1,,1,-1,"manual",2024,"False"
"human","ecosystem",-1,,0,-1,"manual",2024,"False"
"human bacteremia s. aureus","disease,ecosystem","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"human bacteremia with s. aureus","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"human campylobacteriosis","disease,ecosystem","DOID:13622","campylobacteriosis",0,-1,"manual",2024,"True"
"human carrier","ecosystem",-1,,1,-1,"not_assigned",2024,"False"
"human pasteurellosis","disease,ecosystem","DOID:11055","pasteurellosis",0,-1,"manual",2024,"True"
"human relapsing fever","disease,ecosystem","DOID:13034","relapsing fever",0,-1,"manual",2024,"True"
"hus","disease","DOID:12554",,1,-1,"manual",2024,"False"
"hus , bloody diarrhea","symptom,disease","DOID:12554,DOID:13250,SYMP:0020011","bloody diarrhea",0,-1,"manual",2024,"True"
"hydrocephalus","disease","DOID:10908","hydrocephalus",1,100,"exact,term",2024,"False"
"hydrohymenitis",,-1,,1,-1,"not_assigned",2024,"False"
"hyperaemia","symptom","SYMP:0000299","hyperemia",1,100,"wratio,exact_synonym",2024,"False"
"hyperbilirubinemia","disease","DOID:2741","bilirubin metabolic disorder",1,100,"wratio,exact_synonym",2024,"False"
"hyperplasia of the prostate gland","disease","DOID:47",,1,-1,"manual",2024,"False"
"hyperplasia prostate gland","disease","DOID:47","prostate disease",0,-1,"manual",2024,"False"
"hypertension","disease","DOID:10763","hypertension",1,100,"exact,term",2024,"False"
"hypertensive disease","disease","DOID:11516","hypertensive heart disease",1,95,"wratio,term",2024,"False"
"hypertrophic osteoarthritis , soft tissue mass anterolateral portion","disease","DOID:8398","osteoarthritis",1,100,"token_set_ratio,term",2024,"False"
"hypervirulence","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"hypoxicischemic encephalopathy","disease","DOID:936","brain disease",1,100,"token_set_ratio,exact_synonym",2024,"False"
"idiopathic acute pancreatitis","disease","DOID:2913",,1,100,"token_set_ratio,term",2024,"True"
"infant botulism","disease","DOID:0050354","infant botulism",1,100,"exact,term",2024,"False"
"infect","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"infected c-section","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"infected csection","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"infected joint","disease","DOID:0050117",,1,-1,"manual",2024,"False"
"infected pyopneumothorax","disease","DOID:0050117,DOID:1673",,1,-1,"manual",2024,"False"
"infection","disease","DOID:0050117","human immunodeficiency virus infectious disease",0,-1,"manual",2024,"False"
"infection , burkholderia","disease","DOID:5052",,0,-1,"manual",2024,"False"
"infection , nosocomial","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"infection , urinary tract","disease","DOID:0080784","urinary tract infection",1,95,"wratio,term",2024,"False"
"infection burkholderia multivorans","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"infection central nervous system","disease","DOID:331,DOID:0050117",,0,-1,"manual",2024,"False"
"infection control","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"infection of the central nervous system","disease","DOID:331,DOID:0050117","central nervous system disease,disease infectious agent",0,-1,"manual",2024,"False"
"infection peptoclostridium difficile","disease","DOID:104",,0,-1,"manual",2024,"False"
"infection streptococcus equinus","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"infection with burkholderia multivorans","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"infection with peptoclostridium difficile","disease","DOID:104",,1,-1,"manual",2024,"False"
"infection with streptococcus equinus","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"infection, burkholderia","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"infection, urinary tract","disease","DOID:0080784",,1,95,"wratio,term",2024,"False"
"infections, nosocomial","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"infectious diarrhea","disease","DOID:12384",,1,100,"wratio,exact_synonym",2024,"False"
"infectious disease","disease","DOID:0050117","disease infectious agent",0,-1,"manual",2024,"False"
"infectious diseases","disease","DOID:0050117","disease infectious agent",0,-1,"manual",2024,"False"
"infective endocarditis","disease","DOID:0060000","infective endocarditis",1,100,"exact,term",2024,"False"
"infenction","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"infertile","symptom","SYMP:0000712","infertility",1,-1,"manual",2024,"False"
"inflammation","symptom","SYMP:0000061","dermatitis",0,-1,"manual",2024,"False"
"insufficiency bicuspid valve","disease","DOID:0080332","bicuspid aortic valve disease",0,-1,"manual",2024,"False"
"insufficiency of a bicuspid valve","disease","DOID:0080332","bicuspid aortic valve disease",1,-1,"manual",2024,"False"
"intermediate",,-1,,0,-1,"manual",2024,"False"
"interstitial pneumonia","disease","DOID:2797","lymphoid interstitial pneumonia",0,-1,"manual",2024,"True"
"intestinal colonization","disease","DOID:100","intestinal infectious disease",1,-1,"manual",2024,"False"
"intestinal fistula","disease","DOID:77","gastrointestinal system disease",0,-1,"manual",2024,"False"
"intestinal obstruction","disease","DOID:8437","intestinal obstruction",1,100,"exact,term",2024,"False"
"intra-abdominal abscess","symptom","SYMP:0000672","abscess",0,-1,"manual",2024,"False"
"intra-abdominal infection","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"intra-abdominal infection (splenic abscess)","symptom","SYMP:0000381",,0,-1,"manual",2024,"False"
"intraabdominal abscess","symptom","SYMP:0000672","abscess",1,100,"token_set_ratio,term",2024,"False"
"intraabdominal infection","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"intraabdominal infection ( splenic abscess )","disease","DOID:2530,DOID:0050117","splenic abscess,disease infectious agent",0,-1,"manual",2024,"False"
"intraabdominal infections","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"intracranial infection","disease","DOID:331,DOID:0050117","central nervous system disease,disease infectious agent",0,-1,"manual",2024,"False"
"intracranial injury","disease","DOID:0081292","traumatic brain injury",1,-1,"manual",2024,"False"
"intramammary infection","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"ints","disease","DOID:104",,0,-1,"manual",2024,"False"
"invasive",,-1,,1,-1,"manual",2024,"False"
"invasive non-typhoidal salmonellosis","disease","DOID:0060859","salmonellosis",1,100,"token_set_ratio,term",2024,"False"
"invasive nontyphoidal salmonellosis","disease","DOID:0060859","salmonellosis",1,100,"token_set_ratio,term",2024,"False"
"ischemic encephalopathy","disease","DOID:2316","brain ischemia",1,100,"wratio,exact_synonym",2024,"False"
"ischemic stroke","disease","DOID:6713","cerebrovascular disease",1,100,"token_set_ratio,exact_synonym",2024,"False"
"keratohelcosis","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"kidney failure","disease","DOID:1074","kidney failure",1,100,"exact,term",2024,"False"
"kidney stone fluid accumulation infection","disease","DOID:585,DOID:0050117",,0,-1,"manual",2024,"False"
"kidney transplant","disease","DOID:557","kidney disease",1,-1,"manual",2024,"False"
"kidney transplantation","disease","DOID:557","kidney disease",0,-1,"manual",2024,"False"
"klebsiella bloodstream infection","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"klebsiella colonization","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"klebsiella infection","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"klebsiella infections","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"klebsiella pneumoniae","disease","DOID:13272","klebsiella pneumonia",1,97.5609756097561,"wratio,term",2024,"False"
"klebsiella pneumoniae [ k. pneumoniae ] cause disease classified elsewhere","disease","DOID:13272","klebsiella pneumonia",0,-1,"manual",2024,"False"
"klebsiella pneumoniae [k. pneumoniae] as the cause of diseases classified elsewhere","disease","DOID:13272","klebsiella pneumonia",1,-1,"manual",2024,"False"
"klebsiella pneumoniae bacteremia","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"klebsiella pneumoniae infection","disease","DOID:13272","klebsiella pneumonia",0,-1,"manual",2024,"False"
"klebsiella pneumoniae pneumonia","disease","DOID:13272","klebsiella pneumonia",1,95,"wratio,exact_synonym",2024,"False"
"klebsiella respiratory infection","disease","DOID:104,DOID:1579","bacterial infectious disease,respiratory system disease",0,-1,"manual",2024,"False"
"known",,-1,,1,-1,"not_assigned",2024,"False"
"kosakonia bacteremia","disease","DOID:104",,1,-1,"manual",2024,"False"
"laryngeal neoplasm","disease","DOID:1579,DOID:14566","laryngeal benign neoplasm",0,-1,"manual",2024,"True"
"leg ulcer","disease","DOID:37","skin disease",1,-1,"manual",2024,"False"
"legionnaire disease","disease","DOID:10457","legionnaire disease",1,100,"exact,term",2024,"False"
"legionnaires disease","disease","DOID:10457",,1,100,"exact,term",2024,"False"
"legionnaires' disease","disease","DOID:10457","legionnaire disease",1,100,"exact,term",2024,"False"
"lemierres syndrome","disease","DOID:11337","lemierres syndrome",1,100,"exact,term",2024,"False"
"leptospirosis","disease","DOID:2297","leptospirosis",1,100,"exact,term",2024,"False"
"leptospirosis latitude","disease","DOID:2297","leptospirosis",1,100,"token_set_ratio,term",2024,"False"
"leukemia","disease","DOID:1240","leukemia",1,100,"exact,term",2024,"False"
"leukemia/pancreatitis","disease","DOID:1240,DOID:4989","leukemia,pancreatitis",0,-1,"manual",2024,"False"
"lgv proctitis","disease","DOID:3127","proctitis",1,95,"wratio,term",2024,"False"
"listeriosis","disease","DOID:11573","listeriosis",1,100,"exact,term",2024,"False"
"liver , secondary infection","disease","DOID:409,DOID:0050117","liver disease,disease infectious agent",0,-1,"manual",2024,"False"
"liver abscess","symptom","DOID:409,SYMP:0000295","abscess",0,-1,"manual",2024,"True"
"liver and/or prostate abscess","symptom","DOID:409,SYMP:0000295,SYMP:0000365","abscess",0,-1,"manual",2024,"True"
"liver cirrhosis","disease","DOID:5082",,1,100,"exact,term",2024,"False"
"liver cirrhosis , cholecystitis","disease","DOID:5082,DOID:1949","liver cirrhosis",0,-1,"manual",2024,"False"
"liver cirrhosis, cholecystitis","disease","DOID:5082",,1,100,"token_set_ratio,term",2024,"False"
"liver disease","disease","DOID:409",,1,100,"exact,term",2024,"False"
"liver failure","disease","DOID:409","liver disease",1,-1,"manual",2024,"False"
"localized adiposity",,-1,,1,-1,"not_assigned",2024,"False"
"low back pain","symptom","SYMP:0000635","low backache",1,100,"wratio,exact_synonym",2024,"False"
