Input_host,Assigned_host,Assigned_method,Eval,Final_host,Version,Source
chinese food,False,not_assigned,True,unknown,20231103,IsolationSource
chinese pickle,False,not_assigned,True,unknown,20231103,IsolationSource
chinese sauerkraut,False,not_assigned,True,unknown,20231103,IsolationSource
chinese sausages,False,not_assigned,True,unknown,20231103,IsolationSource
chinese traditional,False,not_assigned,True,unknown,20231103,IsolationSource
chiuchung young,False,not_assigned,True,unknown,20231103,Host
chives,False,not_assigned,True,unknown,20231103,IsolationSource
chocolate milk,False,not_assigned,True,unknown,20231103,IsolationSource
chonggugjang,False,not_assigned,True,unknown,20231103,IsolationSource
chronically low,False,not_assigned,True,unknown,20231103,IsolationSource
chukar,False,not_assigned,False,Alectoris chukar,20231103,Host
cicc,False,not_assigned,True,unknown,20231103,IsolationSource
cider,False,not_assigned,True,unknown,20231103,IsolationSource
clam,False,not_assigned,True,unknown,20231103,IsolationSource
clam aquaculture,False,not_assigned,True,unknown,20231103,IsolationSource
clam larvae,False,not_assigned,True,unknown,20231103,IsolationSource
cleaning system,False,not_assigned,True,unknown,20231103,IsolationSource
cleanroom facility,False,not_assigned,True,unknown,20231103,IsolationSource
clinical,False,not_assigned,True,unknown,20231103,IsolationSource
clinical isolate,False,not_assigned,True,unknown,20231103,IsolationSource
clinical isolates,False,not_assigned,True,unknown,20231103,IsolationSource
cloaca swab,False,not_assigned,True,unknown,20231103,IsolationSource
coal bed,False,not_assigned,True,unknown,20231103,IsolationSource
coal il,False,not_assigned,True,unknown,20231103,IsolationSource
coastal,False,not_assigned,True,unknown,20231103,IsolationSource
coastal area,False,not_assigned,True,unknown,20231103,IsolationSource
cockroach,False,not_assigned,False,Blattodea,20231103,Host
coffee cup,False,not_assigned,True,unknown,20231103,IsolationSource
coke and,False,not_assigned,True,unknown,20231103,IsolationSource
cold seep,False,not_assigned,True,unknown,20231103,IsolationSource
cold smoke,False,not_assigned,True,unknown,20231103,IsolationSource
combined sewer,False,not_assigned,True,unknown,20231103,IsolationSource
commercial  nursery,False,not_assigned,True,unknown,20231103,IsolationSource
comminuted or,False,not_assigned,True,unknown,20231103,IsolationSource
comminuted turkey,False,not_assigned,False,Meleagris gallopavo,20231103,IsolationSource
common bean,False,not_assigned,False,Phaseolus vulgaris,20231103,Host
common green,False,not_assigned,True,unknown,20231103,IsolationSource
compost,False,not_assigned,True,environmental,20231103,IsolationSource
composting reactor,False,not_assigned,True,unknown,20231103,IsolationSource
concrete,False,not_assigned,True,unknown,20231103,IsolationSource
conjugation,False,not_assigned,True,unknown,20231103,IsolationSource
conjugation assay,False,not_assigned,True,unknown,20231103,IsolationSource
conjugation experiments,False,not_assigned,True,unknown,20231103,IsolationSource
contaminant from,False,not_assigned,True,unknown,20231103,IsolationSource
contaminated culture,False,not_assigned,True,unknown,20231103,IsolationSource
contaminated sludge,False,not_assigned,True,environmental,20231103,IsolationSource
contaminated transfused,False,not_assigned,True,unknown,20231103,IsolationSource
cookware,False,not_assigned,True,unknown,20231103,IsolationSource
coral,False,not_assigned,False,Anthozoa,20231103,IsolationSource
cork university,False,not_assigned,True,unknown,20231103,IsolationSource
corn ilage,False,not_assigned,True,unknown,20231103,IsolationSource
corn meal,False,not_assigned,False,Zea mays,20231103,IsolationSource
cornstarch,False,not_assigned,False,Zea mays,20231103,IsolationSource
cotton pathogen,False,not_assigned,False,Gossypium hirsutum,20231103,Host
cows,False,not_assigned,False,Bos taurus,20231103,Host
crab apple,False,not_assigned,False,Malus sylvestris,20231103,Host
crab marinated,False,not_assigned,False,Brachyura,20231103,IsolationSource
cream products,False,not_assigned,True,unknown,20231103,IsolationSource
creek,False,not_assigned,True,unknown,20231103,IsolationSource
creek water,False,not_assigned,True,unknown,20231103,IsolationSource
crow,False,not_assigned,False,Corvus,20231103,Host
crude oil,False,not_assigned,True,unknown,20231103,IsolationSource
cruid oil,False,not_assigned,True,unknown,20231103,IsolationSource
cucumber fermentation,False,not_assigned,False,Cucumis sativus,20231103,IsolationSource
cucumber kurazh,False,not_assigned,False,Cucumis sativus,20231103,IsolationSource
cucumber rhizoere,False,not_assigned,False,Cucumis sativus,20231103,IsolationSource
culture collection,False,not_assigned,True,unknown,20231103,IsolationSource
culture maintained,False,not_assigned,True,unknown,20231103,IsolationSource
culture mutant,False,not_assigned,True,unknown,20231103,IsolationSource
culture of,False,not_assigned,True,unknown,20231103,IsolationSource
culture pond,False,not_assigned,True,environmental,20231103,IsolationSource
cy squid,False,not_assigned,False,Teuthida,20231103,IsolationSource
cyanobacterial aggregates,False,not_assigned,False,Cyanobacteria,20231103,IsolationSource
cyanobacterial bloom,False,not_assigned,False,Cyanobacteria,20231103,IsolationSource
cyanobacterial mat,False,not_assigned,False,Cyanobacteria,20231103,IsolationSource
dairy,False,not_assigned,True,unknown,20231103,IsolationSource
dairy cattle,False,not_assigned,False,Bos taurus,20231103,Host
dairy farm,False,not_assigned,True,unknown,20231103,IsolationSource
dairy fermentation,False,not_assigned,True,unknown,20231103,IsolationSource
dairy product,False,not_assigned,True,unknown,20231103,IsolationSource
dairy products,False,not_assigned,True,unknown,20231103,IsolationSource
dairy starter,False,not_assigned,True,unknown,20231103,IsolationSource
dandelion kimchi,False,not_assigned,True,unknown,20231103,IsolationSource
dead,False,not_assigned,True,unknown,20231103,Host
dead ?,False,not_assigned,True,unknown,20231103,Host
deang pickled,False,not_assigned,True,unknown,20231103,IsolationSource
deep sea,False,not_assigned,True,environmental,20231103,IsolationSource
deep subsurface,False,not_assigned,True,environmental,20231103,IsolationSource
deepsea hydrothermal,False,not_assigned,True,environmental,20231103,IsolationSource
degraded sugar,False,not_assigned,True,unknown,20231103,IsolationSource
derived food,False,not_assigned,True,unknown,20231103,IsolationSource
derived from,False,not_assigned,True,unknown,20231103,IsolationSource
desert land,False,not_assigned,False,environmental,20231103,IsolationSource
dialysis fluid,False,not_assigned,True,unknown,20231103,IsolationSource
diarrheal snake,False,not_assigned,False,Serpentes,20231103,IsolationSource
diary product,False,not_assigned,True,unknown,20231103,IsolationSource
diced lamb,False,not_assigned,False,Ovis aries,20231103,IsolationSource
diced radish,False,not_assigned,False,Raphanus sativus,20231103,IsolationSource
digestive tract of a Zophobas atratus larvae,False,not_assigned,False,Zophobas atratus,20231103,IsolationSource
diphtheria nat,False,not_assigned,True,unknown,20231103,Host
dirt,False,not_assigned,True,unknown,20231103,IsolationSource
diseased  of,False,not_assigned,True,False,20231103,IsolationSource
diseased fish,False,not_assigned,False,Chordata,20231103,IsolationSource
diseased leaves,False,not_assigned,True,unknown,20231103,IsolationSource
diseased rice,False,not_assigned,False,Oryza sativa,20231103,IsolationSource
doenjang,False,not_assigned,True,unknown,20231103,IsolationSource
dog with,False,not_assigned,False,Canis lupus familiaris,20231103,IsolationSource
doi: 10.1111/evo.12148,False,not_assigned,True,unknown,20231103,IsolationSource
domestic chicken,False,not_assigned,False,Gallus gallus,20231103,Host
dongxiang  rice,False,not_assigned,False,Oryza sativa,20231103,Host
doubanjiang,False,not_assigned,True,unknown,20231103,IsolationSource
drag swab,False,not_assigned,True,unknown,20231103,IsolationSource
drainage,False,not_assigned,True,unknown,20231103,IsolationSource
drainingmatting conveyor,False,not_assigned,True,unknown,20231103,IsolationSource
dried distillers,False,not_assigned,True,unknown,20231103,IsolationSource
dried milk,False,not_assigned,True,unknown,20231103,IsolationSource
dried tofu,False,not_assigned,True,unknown,20231103,IsolationSource
dry sausage,False,not_assigned,True,unknown,20231103,IsolationSource
dsmz isolate,False,not_assigned,True,unknown,20231103,IsolationSource
duck with,False,not_assigned,False,Anas platyrhynchos,20231103,IsolationSource
dukgu hot,False,not_assigned,True,unknown,20231103,IsolationSource
dust,False,not_assigned,True,unknown,20231103,IsolationSource
dust collector,False,not_assigned,True,unknown,20231103,IsolationSource
eel,False,not_assigned,True,unknown,20231103,Host
een of,False,not_assigned,True,False,20231103,IsolationSource
efbinfected honey,False,not_assigned,True,unknown,20231103,IsolationSource
egg,False,not_assigned,True,unknown,20231103,IsolationSource
egg  whole,False,not_assigned,True,False,20231103,IsolationSource
egg  yolk,False,not_assigned,True,False,20231103,IsolationSource
egg raw,False,not_assigned,True,unknown,20231103,IsolationSource
egg white,False,not_assigned,True,unknown,20231103,IsolationSource
eggshell rinse,False,not_assigned,True,unknown,20231103,IsolationSource
egret,False,not_assigned,True,unknown,20231103,Host
emmental,False,not_assigned,True,unknown,20231103,IsolationSource
endophyte of,False,not_assigned,True,unknown,20231103,Host
enriched culture,False,not_assigned,True,unknown,20231103,IsolationSource
ensuite 7,False,not_assigned,True,unknown,20231103,IsolationSource
eqa test,False,not_assigned,True,unknown,20231103,IsolationSource
er dedon,False,not_assigned,True,unknown,20231103,IsolationSource
ermafrost region,False,not_assigned,True,unknown,20231103,IsolationSource
eucalypti of,False,not_assigned,True,unknown,20231103,Host
evolved in,False,not_assigned,True,unknown,20231103,IsolationSource
ew,False,not_assigned,True,unknown,20231103,Host
ewaste recycling,False,not_assigned,True,unknown,20231103,IsolationSource
faecal sample,False,not_assigned,True,unknown,20231103,IsolationSource
faeces,False,not_assigned,True,unknown,20231103,Host
faeces of,False,not_assigned,True,unknown,20231103,IsolationSource
"faeces,qinghai,china",False,not_assigned,True,unknown,20231103,IsolationSource
feass,False,not_assigned,True,unknown,20231103,IsolationSource
fecal of,False,not_assigned,True,unknown,20231103,IsolationSource
fecal sample,False,not_assigned,True,unknown,20231103,IsolationSource
fecal sample of a Golden lion tamarin,False,not_assigned,False,Leontopithecus rosalia,20231103,IsolationSource
fecal samples,False,not_assigned,True,unknown,20231103,IsolationSource
fecal sludge,False,not_assigned,True,environmental,20231103,IsolationSource
feces,False,not_assigned,True,unknown,20231103,IsolationSource
feces of,False,not_assigned,True,unknown,20231103,IsolationSource
"feces, fp",False,not_assigned,True,unknown,20231103,IsolationSource
feed additive,False,not_assigned,True,unknown,20231103,IsolationSource
feeds,False,not_assigned,True,unknown,20231103,IsolationSource
fence,False,not_assigned,True,unknown,20231103,IsolationSource
feral pig,False,not_assigned,False,Sus scrofa,20231103,Host
fermentation bioreactor,False,not_assigned,True,unknown,20231103,IsolationSource
fermentation of,False,not_assigned,True,unknown,20231103,IsolationSource
fermented cassava roots (fufu),False,not_assigned,False,Manihot esculenta,20231103,IsolationSource
fermenting agave,False,not_assigned,True,unknown,20231103,IsolationSource
fermenting elaeis,False,not_assigned,True,unknown,20231103,IsolationSource
fertilizer,False,not_assigned,True,unknown,20231103,IsolationSource
filter dairy,False,not_assigned,True,unknown,20231103,IsolationSource
fire pearl,False,not_assigned,True,unknown,20231103,IsolationSource
fish,False,not_assigned,False,Chordata,20231103,Host
fish aquaculture,False,not_assigned,True,environmental,20231103,IsolationSource
fish larvae,False,not_assigned,True,unknown,20231103,IsolationSource
fish meal,False,not_assigned,True,unknown,20231103,IsolationSource
fishpond,False,not_assigned,True,environmental,20231103,IsolationSource
flour,False,not_assigned,True,unknown,20231103,IsolationSource
flower,False,not_assigned,True,unknown,20231103,Host
flower of,False,not_assigned,True,unknown,20231103,IsolationSource
fly,False,not_assigned,False,Diptera,20231103,IsolationSource
foam on,False,not_assigned,True,unknown,20231103,IsolationSource
fodder,False,not_assigned,True,unknown,20231103,IsolationSource
food,False,not_assigned,True,unknown,20231103,Host
food additive,False,not_assigned,True,unknown,20231103,IsolationSource
food material,False,not_assigned,True,unknown,20231103,Host
food packaging,False,not_assigned,True,unknown,20231103,IsolationSource
food product,False,not_assigned,True,unknown,20231103,IsolationSource
food sludge,False,not_assigned,True,unknown,20231103,IsolationSource
food:  boar,False,not_assigned,False,Sus scrofa,20231103,IsolationSource
foodwaste compost,False,not_assigned,True,unknown,20231103,IsolationSource
foot panel,False,not_assigned,True,unknown,20231103,IsolationSource
for yogurt,False,not_assigned,True,unknown,20231103,IsolationSource
former landfill,False,not_assigned,True,unknown,20231103,IsolationSource
fouling of,False,not_assigned,True,unknown,20231103,IsolationSource
freerange whitetailed,False,not_assigned,True,unknown,20231103,Host
freezedried stock,False,not_assigned,True,unknown,20231103,IsolationSource
french drytype,False,not_assigned,True,unknown,20231103,IsolationSource
fresh alfalfa,False,not_assigned,False,Medicago sativa,20231103,IsolationSource
fresh milk,False,not_assigned,True,unknown,20231103,IsolationSource
fresh water,False,not_assigned,False,environmental,20231103,IsolationSource
freshcut fruits,False,not_assigned,True,unknown,20231103,IsolationSource
freshcut produce,False,not_assigned,True,unknown,20231103,IsolationSource
frog,False,not_assigned,False,Anura,20231103,IsolationSource
frog farm,False,not_assigned,False,Anura,20231103,IsolationSource
from china,False,not_assigned,True,unknown,20231103,IsolationSource
from rome,False,not_assigned,True,False,20231103,IsolationSource
from type,False,not_assigned,True,unknown,20231103,IsolationSource
frozen  shrimp,False,not_assigned,False,Caridea,20231103,IsolationSource
frozen dumplings,False,not_assigned,True,unknown,20231103,IsolationSource
frozen peas,False,not_assigned,False,Pisum sativum,20231103,IsolationSource
frozen raw,False,not_assigned,True,unknown,20231103,IsolationSource
frozen ready,False,not_assigned,True,unknown,20231103,IsolationSource
frozen yellowfin,False,not_assigned,False,Thunnus albacares,20231103,IsolationSource
fruits,False,not_assigned,True,unknown,20231103,IsolationSource
fufu,False,not_assigned,True,unknown,20231103,IsolationSource
futsai,False,not_assigned,True,unknown,20231103,IsolationSource
g.max,False,not_assigned,False,Glycine max,20231103,Host
galchikimchi,False,not_assigned,True,unknown,20231103,IsolationSource
gallbladder,False,not_assigned,True,unknown,20231103,IsolationSource
ganjang,False,not_assigned,True,unknown,20231103,IsolationSource
garbage cans,False,not_assigned,True,unknown,20231103,IsolationSource
"garlic, cabbage",False,not_assigned,True,unknown,20231103,Host
geothermal isolate,False,not_assigned,True,environmental,20231103,IsolationSource
german wadden,False,not_assigned,True,unknown,20231103,IsolationSource
geus denmark,False,not_assigned,True,unknown,20231103,Host
gill tissue,False,not_assigned,True,unknown,20231103,IsolationSource
gimbap,False,not_assigned,True,unknown,20231103,IsolationSource
girard,False,not_assigned,True,unknown,20231103,IsolationSource
glacial stream,False,not_assigned,True,environmental,20231103,IsolationSource
glacial till,False,not_assigned,True,environmental,20231103,IsolationSource
glacier from,False,not_assigned,True,unknown,20231103,IsolationSource
glomma river,False,not_assigned,True,environmental,20231103,IsolationSource
"goat, fecal",False,not_assigned,False,Capra hircus,20231103,IsolationSource
gochujang,False,not_assigned,True,unknown,20231103,IsolationSource
goldcopper mine,False,not_assigned,True,unknown,20231103,IsolationSource
goose anus,False,not_assigned,False,Anser sp.,20231103,IsolationSource
goose faeces,False,not_assigned,False,Anser sp.,20231103,IsolationSource
granite,False,not_assigned,True,unknown,20231103,IsolationSource
grape,False,not_assigned,False,Vitis vinifera,20231103,Host
grapevine,False,not_assigned,False,Vitis vinifera,20231103,Host
greek oregano,False,not_assigned,False,Origanum vulgare,20231103,Host
green chili,False,not_assigned,False,Capsicum annuum,20231103,IsolationSource
green onion,False,not_assigned,False,Allium cepa,20231103,IsolationSource
greenhous agroscope,False,not_assigned,True,False,20231103,IsolationSource
"greensboro, alabama",False,not_assigned,True,unknown,20231103,IsolationSource
groin,False,not_assigned,True,unknown,20231103,IsolationSource
guayule shrubs,False,not_assigned,False,Parthenium argentatum,20231103,Host
guide to,False,not_assigned,True,unknown,20231103,IsolationSource
gulf of,False,not_assigned,True,unknown,20231103,IsolationSource
gut,False,not_assigned,True,unknown,20231103,IsolationSource
gut of,False,not_assigned,True,unknown,20231103,Host
gwg,False,not_assigned,True,unknown,20231103,Host
hainan,False,not_assigned,True,unknown,20231103,Host
halophyte rhizoere,False,not_assigned,False,Haptophyta,20231103,IsolationSource
ham,False,not_assigned,True,unknown,20231103,IsolationSource
hand rail,False,not_assigned,True,unknown,20231103,IsolationSource
handmade yogurt,False,not_assigned,True,unknown,20231103,IsolationSource
hawk,False,not_assigned,False,Buteo,20231103,Host
hazel,False,not_assigned,False,Corylus,20231103,Host
hazelnut,False,not_assigned,False,Corylus,20231103,IsolationSource
heifer vaginal,False,not_assigned,True,unknown,20231103,IsolationSource
hen,False,not_assigned,True,unknown,20231103,Host
heterostera chilensis,False,not_assigned,True,unknown,20231103,Host
high concentration,False,not_assigned,True,unknown,20231103,IsolationSource
hightemperature oilfield,False,not_assigned,True,unknown,20231103,IsolationSource
himalayan blackberry,False,not_assigned,False,Rubus armeniacus,20231103,Host
homemade koumiss,False,not_assigned,True,unknown,20231103,IsolationSource
homemade pickle,False,not_assigned,False,Cucumis sativus,20231103,Host
homemade pickled,False,not_assigned,False,Cucumis sativus,20231103,Host
honey,False,not_assigned,True,unknown,20231103,IsolationSource
hoog,False,not_assigned,True,unknown,20231103,Host
hopper,False,not_assigned,True,unknown,20231103,IsolationSource
horse faeces,False,not_assigned,False,Equus caballus,20231103,IsolationSource
host,False,not_assigned,True,unknown,20231103,Host
hot ing,False,not_assigned,True,unknown,20231103,IsolationSource
hot under,False,not_assigned,True,unknown,20231103,IsolationSource
hotal,False,not_assigned,True,unknown,20231103,IsolationSource
hotal sample,False,not_assigned,True,unknown,20231103,IsolationSource
hotal sewage,False,not_assigned,True,unknown,20231103,IsolationSource
house,False,not_assigned,True,unknown,20231103,Host
household dust,False,not_assigned,True,unknown,20231103,IsolationSource
humen being,False,not_assigned,False,Homo sapiens,20231103,Host
hyacinth,False,not_assigned,True,unknown,20231103,Host
hybrid catfish,False,not_assigned,False,Clarias macrocephalus x Clarias gariepinus,20231103,IsolationSource
hydrocarboncontaminated desert,False,not_assigned,True,unknown,20231103,IsolationSource
hydrogen sulfide,False,not_assigned,True,environmental,20231103,IsolationSource
hydroponic pots,False,not_assigned,True,environmental,20231103,IsolationSource
hydrothermal vent,False,not_assigned,True,environmental,20231103,IsolationSource
hygromycin b,False,not_assigned,True,unknown,20231103,IsolationSource
hyperthermophilic compost,False,not_assigned,True,unknown,20231103,IsolationSource
i,False,not_assigned,True,unknown,20231103,IsolationSource
iam12617,False,not_assigned,True,unknown,20231103,IsolationSource
ice cream,False,not_assigned,True,unknown,20231103,IsolationSource
icu staff,False,not_assigned,True,unknown,20231103,IsolationSource
iled shower,False,not_assigned,True,unknown,20231103,IsolationSource
imported food,False,not_assigned,True,unknown,20231103,IsolationSource
indoor air,False,not_assigned,True,unknown,20231103,IsolationSource
industrial,False,not_assigned,True,unknown,20231103,IsolationSource
industrial building,False,not_assigned,True,unknown,20231103,IsolationSource
infected peach,False,not_assigned,False,Prunus persica,20231103,IsolationSource
infusion stand_p63_bu16,False,not_assigned,True,unknown,20231103,IsolationSource
ing,False,not_assigned,True,unknown,20231103,IsolationSource
inside the,False,not_assigned,True,unknown,20231103,IsolationSource
instant pork,False,not_assigned,False,Sus scrofa,20231103,IsolationSource
instant soup,False,not_assigned,True,unknown,20231103,IsolationSource
intestinal contents,False,not_assigned,True,unknown,20231103,IsolationSource
intestine,False,not_assigned,True,unknown,20231103,IsolationSource
intestine membrane,False,not_assigned,True,unknown,20231103,IsolationSource
iru african,False,not_assigned,True,unknown,20231103,IsolationSource
isolated from,False,not_assigned,True,unknown,20231103,IsolationSource
jamiecosley,False,not_assigned,True,unknown,20231103,Host
japanese rhinoceros,False,not_assigned,False,Trypoxylus dichotomus,20231103,Host
jay,False,not_assigned,True,unknown,20231103,IsolationSource
jelly,False,not_assigned,True,unknown,20231103,IsolationSource
jeonjusi,False,not_assigned,True,unknown,20231103,IsolationSource
jeotgal,False,not_assigned,True,unknown,20231103,IsolationSource
jiangshui,False,not_assigned,True,unknown,20231103,IsolationSource
jiangsu,False,not_assigned,True,unknown,20231103,IsolationSource
jianhua liu,False,not_assigned,True,unknown,20231103,Host
kaburazushi,False,not_assigned,True,unknown,20231103,IsolationSource
kaeda river,False,not_assigned,True,unknown,20231103,IsolationSource
kaist,False,not_assigned,True,unknown,20231103,IsolationSource
kaluga region,False,not_assigned,True,unknown,20231103,IsolationSource
kantong,False,not_assigned,True,unknown,20231103,IsolationSource
kefir,False,not_assigned,True,unknown,20231103,IsolationSource
kefir grain,False,not_assigned,True,unknown,20231103,Host
kefir grains,False,not_assigned,True,unknown,20231103,Host
kefir milk,False,not_assigned,True,unknown,20231103,IsolationSource
kelp frond,False,not_assigned,True,unknown,20231103,IsolationSource
kelp tisue,False,not_assigned,True,unknown,20231103,IsolationSource
kim chi,False,not_assigned,True,unknown,20231103,IsolationSource
kimchi,False,not_assigned,False,Companilactobacillus kimchii,20231103,Host
kimchi cabbage,False,not_assigned,False,Companilactobacillus kimchii,20231103,Host
kimchi without,False,not_assigned,True,unknown,20231103,IsolationSource
knife,False,not_assigned,True,unknown,20231103,IsolationSource
kolyma lowland,False,not_assigned,True,unknown,20231103,IsolationSource
kombucha scoby,False,not_assigned,True,unknown,20231103,IsolationSource
kombucha tea,False,not_assigned,True,unknown,20231103,IsolationSource
korean  food,False,not_assigned,True,unknown,20231103,IsolationSource
korean adult,False,not_assigned,True,unknown,20231103,IsolationSource
korean kefir,False,not_assigned,True,unknown,20231103,IsolationSource
korean native,False,not_assigned,True,unknown,20231103,Host
korean soybean,False,not_assigned,False,Glycine max,20231103,IsolationSource
korean traditional,False,not_assigned,True,unknown,20231103,IsolationSource
koumiss,False,not_assigned,True,unknown,20231103,Host
kratom powder,False,not_assigned,True,unknown,20231103,IsolationSource
kyoto,False,not_assigned,True,unknown,20231103,IsolationSource
lab,False,not_assigned,True,unknown,20231103,IsolationSource
lab culture,False,not_assigned,True,unknown,20231103,IsolationSource
lab grown,False,not_assigned,True,unknown,20231103,IsolationSource
lab strain,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory activated,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory contaminant,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory evolution,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory isolate,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory stock,False,not_assigned,True,unknown,20231103,IsolationSource
laboratory strain,False,not_assigned,True,unknown,20231103,IsolationSource
lacertilia,False,not_assigned,False,Toxicofera,20231103,Host
lake,False,not_assigned,True,environmental,20231103,IsolationSource
lake kulim,False,not_assigned,True,environmental,20231103,IsolationSource
lake mainaki,False,not_assigned,True,environmental,20231103,IsolationSource
lake untersee,False,not_assigned,True,environmental,20231103,IsolationSource
lamb,False,not_assigned,False,Ovis aries,20231103,Host
laminated microbial,False,not_assigned,True,unknown,20231103,IsolationSource
landfill,False,not_assigned,True,unknown,20231103,IsolationSource
lava,False,not_assigned,True,unknown,20231103,IsolationSource
leaf,False,not_assigned,True,unknown,20231103,IsolationSource
leaf from,False,not_assigned,True,unknown,20231103,IsolationSource
leaf litter,False,not_assigned,True,unknown,20231103,IsolationSource
leaf tissues,False,not_assigned,True,unknown,20231103,IsolationSource
leaf vegetable,False,not_assigned,True,unknown,20231103,IsolationSource
leaves,False,not_assigned,True,unknown,20231103,IsolationSource
leaves of,False,not_assigned,True,unknown,20231103,IsolationSource
lettuce,False,not_assigned,False,Lactuca sativa,20231103,Host
lettuce from,False,not_assigned,False,Lactuca sativa,20231103,IsolationSource
lichen,False,not_assigned,True,unknown,20231103,Host
light wheat,False,not_assigned,False,Triticum aestivum,20231103,IsolationSource
liquor based,False,not_assigned,True,unknown,20231103,IsolationSource
litchi pericarp,False,not_assigned,True,unknown,20231103,IsolationSource
litter,False,not_assigned,True,unknown,20231103,IsolationSource
livestock manure,False,not_assigned,True,unknown,20231103,IsolationSource
lizard,False,not_assigned,False,Toxicofera,20231103,Host
loach,False,not_assigned,False,Cobitoidei,20231103,Host
local geographical,False,not_assigned,True,unknown,20231103,IsolationSource
locker_p26_bu28,False,not_assigned,True,unknown,20231103,IsolationSource
lotus pond,False,not_assigned,True,environmental,20231103,IsolationSource
lowbush blueberries,False,not_assigned,False,Vaccinium corymbosum ,20231103,IsolationSource
lung,False,not_assigned,True,unknown,20231103,IsolationSource
lung sample,False,not_assigned,True,unknown,20231103,IsolationSource
lutjanus guttatus (rose snapper),False,not_assigned,False,Lutjanus guttatus,20231103,Host
lwg,False,not_assigned,True,unknown,20231103,Host
maari,False,not_assigned,True,unknown,20231103,IsolationSource
mac and,False,not_assigned,True,unknown,20231103,IsolationSource
madre curry,False,not_assigned,True,unknown,20231103,IsolationSource
main river,False,not_assigned,True,environmental,20231103,IsolationSource
maize rhizoere,False,not_assigned,False,Zea mays,20231103,IsolationSource
mangrove,False,not_assigned,True,unknown,20231103,Host
mangrove mud,False,not_assigned,True,unknown,20231103,IsolationSource
mangrove wetland,False,not_assigned,True,unknown,20231103,IsolationSource
manure compost,False,not_assigned,True,unknown,20231103,IsolationSource
mao tofu,False,not_assigned,True,False,20231103,IsolationSource
maotai daqu,False,not_assigned,True,unknown,20231103,IsolationSource
mare,False,not_assigned,False,Equus caballus,20231103,Host
mares milk,False,not_assigned,True,unknown,20231103,IsolationSource
marinated fish,False,not_assigned,False,Chordata,20231103,IsolationSource
marine,False,not_assigned,True,environmental,20231103,IsolationSource
marine biofilm,False,not_assigned,True,environmental,20231103,IsolationSource
marine biofilms,False,not_assigned,True,environmental,20231103,IsolationSource
marine macroalga,False,not_assigned,True,environmental,20231103,IsolationSource
marine mud,False,not_assigned,True,environmental,20231103,IsolationSource
marine nge,False,not_assigned,True,unknown,20231103,Host
marine sludge,False,not_assigned,True,environmental,20231103,IsolationSource
marine upper,False,not_assigned,True,environmental,20231103,IsolationSource
mashed potatoes,False,not_assigned,False,Solanum tuberosum,20231103,IsolationSource
mastitis milk,False,not_assigned,True,unknown,20231103,IsolationSource
mead,False,not_assigned,True,unknown,20231103,IsolationSource
mealworm,False,not_assigned,True,unknown,20231103,IsolationSource
mechanically deboned,False,not_assigned,True,unknown,20231103,IsolationSource
medical cimen,False,not_assigned,True,unknown,20231103,IsolationSource
medicine capsule,False,not_assigned,True,unknown,20231103,IsolationSource
medium 987,False,not_assigned,True,unknown,20231103,Host
meju,False,not_assigned,True,unknown,20231103,IsolationSource
"meju,  soybean",False,not_assigned,False,Glycine max,20231103,IsolationSource
meromictic lake,False,not_assigned,True,environmental,20231103,IsolationSource
metal sulfide,False,not_assigned,True,unknown,20231103,IsolationSource
metal working,False,not_assigned,True,unknown,20231103,IsolationSource
microbial mat,False,not_assigned,True,unknown,20231103,IsolationSource
microbial mats,False,not_assigned,True,unknown,20231103,IsolationSource
microcystis culture,False,not_assigned,True,unknown,20231103,IsolationSource
microtermes  colony,False,not_assigned,True,unknown,20231103,Host
migratory bird,False,not_assigned,False,Ave,20231103,Host
milk,False,not_assigned,True,unknown,20231103,Host
milk and,False,not_assigned,True,unknown,20231103,IsolationSource
milk cheese,False,not_assigned,True,False,20231103,IsolationSource
milk fan,False,not_assigned,True,unknown,20231103,IsolationSource
milk powder,False,not_assigned,True,unknown,20231103,IsolationSource
milk products,False,not_assigned,True,unknown,20231103,IsolationSource
milkers hand,False,not_assigned,True,unknown,20231103,IsolationSource
minced,False,not_assigned,True,unknown,20231103,IsolationSource
mink,False,not_assigned,False,Mustela lutreola,20231103,Host
minnesota,False,not_assigned,True,unknown,20231103,IsolationSource
missing,False,not_assigned,True,unknown,20231103,Host
mixed parts,False,not_assigned,True,unknown,20231103,IsolationSource
mixed salads,False,not_assigned,True,unknown,20231103,IsolationSource
mixture corn,False,not_assigned,False,Zea mays,20231103,IsolationSource
moderate hot,False,not_assigned,True,unknown,20231103,IsolationSource
monitor panel,False,not_assigned,True,unknown,20231103,IsolationSource
montane grasslands,False,not_assigned,True,unknown,20231103,IsolationSource
morning glory,False,not_assigned,True,unknown,20231103,IsolationSource
motal cheese,False,not_assigned,True,unknown,20231103,IsolationSource
moth,False,not_assigned,False,Lepidoptera,20231103,Host
mouldy hay,False,not_assigned,True,unknown,20231103,IsolationSource
moutaiflavour daqu,False,not_assigned,True,unknown,20231103,IsolationSource
