"query","method","eval","tags","version","source","TAXONOMY_UID"
"contaminated groundwater","ete4,inmapping,token_set_ratio",0,"aquatic,freshwater,groundwater,contaminated",2024,"type",-1
"contaminated honey","not_assigned",1,"food,contaminated","20231103_v2","IsolationSource",-1
"contaminated mine soil","ete4,inmapping,wratio",1,"terrestrial,mine,soil,contaminated",2024,"type",-1
"contaminated sludge","not_assigned",1,"wastewater,sludge,contaminated",20231103,"IsolationSource",-1
"contaminated soil","ete4,inmapping,token_set_ratio",0,"soil,contaminated",2024,"type",-1
"contaminated soil sample cpt56dsc oak ridge reservation area 3","ete4,inmapping,wratio",1,"soil,contaminated,location",2024,"type",-1
"contaminated soil sample obtained drilling mud pit","ete4,inmapping,wratio",1,"soil,mud,contaminated",2024,"type",-1
"contaminated transfused","not_assigned",1,"host_associated,circulatory_system,blood,contaminated",20231103,"IsolationSource",-1
"contaminated wipe","ete4,token_set_ratio,common",0,"anthropogenic,contaminated",2024,"type",-1
"cookware","not_assigned",1,"anthropogenic",20231103,"IsolationSource",-1
"cooling tower water","ete4,inmapping,token_set_ratio",1,"aquatic",2024,"type",-1
"coprinus comatus","ete3",1,"host_associated",20231103,"Host",56187
"copris tripartitus","ete3",1,"host_associated",20231103,"Host",438892
"coproduced water oil field","environmental",1,"aquatic,oil",20231103,"IsolationSource",-1
"coral","not_assigned",0,"aquatic,marine,sea,reef",20231103,"IsolationSource",-1
"corchorus olitorius","manual",0,"host_associated",2024,"host_name",93759
"corcyra cephalonica","ete3",1,"host_associated",20231103,"Host",139036
"cord blood","ete4,inmapping,token_set_ratio",1,"host_associated,circulatory_system,blood",2024,"type",-1
"coregonus peled","ete3",1,"host_associated",20231103,"Host",107322
"coreius guichenoti","ete3",1,"host_associated",20231103,"Host",328532
"coriander","ete4,wratio,common",1,"host_associated",2024,"type",4047
"cork university","not_assigned",1,"location",20231103,"IsolationSource",-1
"cormorant","ncbi_taxonomy",1,"host_associated",20231103,"Host",9209
"corn","ncbi_taxonomy",1,"host_associated",20231103,"IsolationSource",381124
"corn ilage","not_assigned",1,"host_associated",20231103,"IsolationSource",4577
"corn meal","not_assigned",0,"host_associated",20231103,"IsolationSource",4577
"corn soil","ete4,inmapping,token_set_ratio",1,"host_associated,soil,rhizosphere",2024,"type",381124
"corn spoilage sample","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",381124
"cornstarch","not_assigned",0,"host_associated",20231103,"IsolationSource",4577
"cornu officinalis","manual",0,"host_associated",2024,"host_name",16906
"coronal/gingival","not_assigned",1,"host_associated,oral",20231103,"IsolationSource",-1
"corporacio sanitarium parc tauli ( sabadell )","not_assigned",0,"anthropogenic,hospital,location",2024,"type",-1
"correlophus ciliatus","ete3",1,"host_associated",20231103,"Host",143539
"corrupt starch water","ete4,inmapping,token_set_ratio",1,"aquatic",2024,"type",-1
"corrupted beer","ete4,inmapping,token_set_ratio",0,"food,drink,fermented",2024,"type",-1
"corruption beer","ete4,inmapping,token_set_ratio",0,"food,drink,fermented",2024,"type",-1
"corvus brachyrhynchos","ete3",1,"host_associated",20231103,"Host",85066
"corvus macrorhynchos","ete3",1,"host_associated",20231103,"Host",36249
"corylus avellana","ete3",1,"host_associated",20231103,"Host",13451
"corylus avellena","fuzzy_sci",1,"host_associated",20231103,"Host",13451
"costelytra zealandica","ete3",1,"host_associated",20231103,"Host",50579
"cotinus coggygria","ete3",1,"host_associated",20231103,"Host",269719
"cotton","ncbi_taxonomy",1,"host_associated",20231103,"Host",3635
"cotton pathogen","not_assigned",0,"host_associated",20231103,"Host",3635
"coturnix coturnix","ete3",1,"host_associated",20231103,"Host",9091
"cough swab","ete4,token_set_ratio,common",0,"host_associated,respiratory_system",2024,"type",-1
"cow","ete4,wratio,common",1,"host_associated",2024,"type",9913
"cow carcass","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9913
"cow dung","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9913
"cow fecal","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9913
"cow feces","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9913
"cow milk","ete4,inmapping,token_set_ratio",1,"food,drink",2024,"type",-1
"cow raw milk","bos_taurus_synonym",1,"food,drink",20231103,"IsolationSource",-1
"cow rumen","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,stomach",2024,"type",9913
"cowpea","fuzzy_common",1,"host_associated",20231103,"Host",3917
"crab apple","not_assigned",0,"host_associated",20231103,"Host",3752
"crab marinated","not_assigned",0,"host_associated",20231103,"IsolationSource",6752
"crab marinated soy sauce","ete4,inmapping,token_set_ratio",0,"food",2024,"type",-1
"crassostrea gigas","ete3",1,"host_associated",20231103,"Host",29159
"crassostrea gigas ( pacific oyster )","manual",0,"host_associated",2024,"host_name",29159
"crassostrea virginica","ete3",1,"host_associated",20231103,"Host",6565
"craugastor fitzingeri","ete3",1,"host_associated",20231103,"Host",228435
"cream product","not_assigned",1,"anthropogenic",20231103,"IsolationSource",-1
"creek","not_assigned",1,"aquatic,freshwater,river",20231103,"IsolationSource",-1
"creek sediment","ete4,inmapping,token_set_ratio",0,"aquatic,freshwater,river,sediment",2024,"type",-1
"creek water","ete4,inmapping,token_set_ratio",1,"aquatic,freshwater,river",2024,"type",-1
"creosote contaminated soil","environmental",1,"soil,contaminated",20231103,"IsolationSource",-1
"creosotecontaminated soil","environmental",1,"soil,contaminated",20231103,"IsolationSource",-1
"creosotepolluted soil","environmental",1,"soil,contaminated",20231103,"IsolationSource",-1
"crepidiastrum sonchifolium","ete4,exact",1,"host_associated",2024,"type",77563
"cricetinae","ete3",1,"host_associated",20231103,"Host",10026
"crocodile lizard","ncbi_taxonomy",1,"host_associated",20231103,"Host",52224
"crocodylus siamensis","ete3",1,"host_associated",20231103,"Host",68455
"crocus sativus","ete3",1,"host_associated",20231103,"Host",82528
"crotalaria pallida","ete3",1,"host_associated",20231103,"Host",3830
"crow","not_assigned",0,"host_associated",20231103,"Host",30420
"crow feces","ete4,inmapping,wratio",1,"host_associated,gastrointestinal_system,fecal",2024,"type",30420
"crown gall","not_assigned",0,"host_associated,disease","20231103_v2","IsolationSource",358
"crown gall tissue","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",358
"crown gall tumor","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",358
"crown gall tumor fieldgrown alfalfa","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",358
"crown rot","ete3",1,"soil,rhizosphere",20231103,"Host",-1
"crucian carp","ncbi_taxonomy",1,"host_associated",20231103,"Host",217509
"crude oil","not_assigned",1,"material,inorganic,oil",20231103,"IsolationSource",-1
"crude oil contaminated desert","ete4,inmapping,token_set_ratio",0,"terrestrial,desert,contaminated,oil",2024,"type",-1
"crude oil contaminated soil","ete4,inmapping,token_set_ratio",0,"soil,contaminated,oil",2024,"type",-1
"crude oilcontaminated soil","ete4,inmapping,wratio",0,"soil,contaminated,oil",2024,"type",-1
"crude oilcontamination soil","environmental",1,"soil,contaminated",20231103,"IsolationSource",-1
"crude oilpolluted soil","environmental",1,"soil,contaminated",20231103,"IsolationSource",-1
"cruid oil","not_assigned",1,"material,inorganic,oil",20231103,"IsolationSource",-1
"crushed rocky mountain wood tick","ete4,inmapping,token_set_ratio",0,"terrestrial,mountain",2024,"type",-1
"cryptocercus clevelandi","ete3",1,"host_associated",20231103,"Host",119679
"cryptocercus kyebangensis","ete3",1,"host_associated",20231103,"Host",161578
"cryptocercus punctulatus","ete3",1,"host_associated",20231103,"Host",36984
"cryptomeria japonica var . sinensis","ete3",1,"host_associated",20231103,"Host",99810
"cryptomonas gyropyrenoidosa sag 25.80","fuzzy_sci",1,"host_associated",20231103,"Host",233257
"csf","ete4,inmapping,token_set_ratio",1,"host_associated,nervous_system",2024,"type",-1
"ctenocephalides felis","ete4,exact",1,"host_associated",2024,"host_name",7515
"ctenocephalides orientis","ete3",1,"host_associated",20231103,"Host",1469616
"cucumber","fuzzy_common",1,"host_associated",20231103,"Host",3659
"cucumber fermentation","not_assigned",0,"food,fermented",20231103,"IsolationSource",-1
"cucumber fermentation brine","ete4,inmapping,token_set_ratio",0,"food,fermented",2024,"type",-1
"cucumber hairy root","ete4,inmapping,token_set_ratio",0,"host_associated,soil,rhizosphere",2024,"type",3659
"cucumber kurazh","not_assigned",0,"host_associated",20231103,"IsolationSource",3659
"cucumber kurazh f1","ete4,inmapping,token_set_ratio",0,"food",2024,"type",-1
"cucumber rhizoere","not_assigned",0,"terrestrial,soil,rhizosphere",20231103,"IsolationSource",-1
"cucumber rhizosphere","ete4,inmapping,token_set_ratio",0,"host_associated,soil,rhizosphere",2024,"type",3659
"cucumis melo","ete3",1,"host_associated",20231103,"Host",3656
"cucumis sativus","ete3",1,"host_associated",20231103,"Host",3659
"cucurbita maximum","ete3",1,"host_associated",20231103,"Host",3661
"cucurbita moschata","ete3",1,"host_associated",20231103,"Host",3662
"cucurbita pepo","ete3",1,"host_associated",20231103,"Host",3663
"cucurbita pepo ssp . texana","fuzzy_sci",1,"host_associated",20231103,"Host",2726055
"culex pipiens","ete3",1,"host_associated",20231103,"Host",7175
"culicoides impunctatus","ete3",1,"host_associated",20231103,"Host",177094
"culture","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"culture chlorella vulgaris pkvl7422","ete4,token_set_ratio,sci",0,"cell_culture",2024,"type",-1
"culture collection","ete4,token_set_ratio,sci",0,"cell_culture",2024,"type",-1
"culture collection specimen","ete4,inmapping,token_set_ratio",1,"cell_culture",2024,"type",-1
"culture isolate","ete4,inmapping,token_set_ratio",1,"cell_culture",2024,"type",-1
"culture isolated host hypha","ete4,inmapping,token_set_ratio",0,"cell_culture,host_associated",2024,"type",4751
"culture maintained","not_assigned",1,"cell_culture",20231103,"IsolationSource",-1
"culture maintained leon , missing plasmid pscl3","ete4,token_set_ratio,syn",0,"cell_culture",2024,"type",-1
"culture mutant","not_assigned",1,"cell_culture",20231103,"IsolationSource",-1
"culture pond","not_assigned",1,"aquatic,freshwater,pond",20231103,"IsolationSource",-1
"culture roseovarius sp . tm1035","ete4,token_set_ratio,sci",0,"cell_culture",2024,"type",-1
"culture sample human patient surveilance","ete4,inmapping,token_set_ratio",0,"host_associated,cell_culture",2024,"type",9606
"cultured bacteria","ete4,inmapping,wratio",1,"cell_culture",2024,"type",-1
"cultured bacterial isolate","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"cultured bacterial source","not_assigned",0,"cell_culture",2024,"type",-1
"cultured bacterial/archaeal genomic sequence ( migs )","not_assigned",0,,2024,"type",-1
"cultured bacterium","ete4,wratio,sci",0,"cell_culture",2024,"type",-1
"cultured bacterium isolated environment","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"cultured cell","ete4,inmapping,wratio",1,"cell_culture",2024,"type",-1
"cultured isolate","ete4,inmapping,wratio",0,"cell_culture",2024,"type",-1
"cultured microbe","not_assigned",0,"cell_culture",2024,"type",-1
"cultured microorganism","ete4,inmapping,wratio",0,"cell_culture",2024,"type",-1
"cultured organism","ete4,wratio,sci",0,"host_associated,cell_culture",2024,"type",-1
"cunninghamia lanceolata","ete3",1,"host_associated",20231103,"Host",28977
"cupriavidus necator culture","ete4,inmapping,token_set_ratio",0,"host_associated,cell_culture",2024,"type",106590
"curcuma aromatica","ete3",1,"host_associated",20231103,"Host",136209
"curcuma wenyujin","ete3",1,"host_associated",20231103,"Host",136221
"curcuma wenyujin y.h . chen et c. ling","chicken_synonym",1,"food",20231103,"Host",-1
"curd","not_assigned",1,"food,fermented",20231103,"IsolationSource",-1
"current humbolt system","not_assigned",0,"aquatic,marine,location",2024,"type",-1
"cutaneous","ete4,inmapping,token_set_ratio",0,"host_associated,skin",2024,"type",-1
"cutaneous anthrax patient","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",9606
"cuticle plant parasitic nematode bursaphelenchus xylophilus extracted symptomatic pinus pinaster avo ( coimbra , portugal )","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",6326
"cvc","not_assigned",0,,2024,"type",-1
"cvp","ete4,inmapping,token_set_ratio",1,"host_associated,circulatory_system,blood",2024,"type",-1
"cvp line blood","ete4,inmapping,token_set_ratio",1,"host_associated,circulatory_system,blood",2024,"type",-1
"cy squid","not_assigned",0,"host_associated",20231103,"IsolationSource",551290
"cyanobacterial aggregate","ete4,inmapping,wratio",1,"host_associated",2024,"type",1117
"cyanobacterial bloom","not_assigned",0,"host_associated",20231103,"IsolationSource",1117
"cyanobacterial mat","not_assigned",0,"host_associated",20231103,"IsolationSource",1117
"cyanobacterial mat sample antarctic lake","ete4,inmapping,token_set_ratio",0,"aquatic,freshwater,lake,location",2024,"type",-1
"cyclopterus lumpus","ete3",1,"host_associated",20231103,"Host",8103
"cygnus melancoryphus","ete4,exact",1,"host_associated",2024,"host_name",41691
"cynara cardunculus var . scolymus","ete3",1,"host_associated",20231103,"Host",59895
"cynoglossus semilaevis","ete3",1,"host_associated",20231103,"Host",244447
"cyperus brevifolius","fuzzy_sci",1,"host_associated",20231103,"IsolationSource",180973
"cystic fibrosis human lung","ete4,token_set_ratio,common",0,"host_associated,respiratory_system,lung,disease",2024,"type",9606
"cystic fibrosis patient","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",9606
"dadih ( a traditional fermented buffalo milk indonesian yogurt )","ete4,inmapping,token_set_ratio",1,"food,fermented",2024,"type",-1
"dafeng marine intertidal zone","ete4,inmapping,token_set_ratio",0,"wetland,intertidal,location",2024,"type",-1
"dairy","ete4,inmapping,token_set_ratio",0,"food,drink",2024,"type",-1
"dairy cattle","not_assigned",0,"host_associated",20231103,"Host",9913
"dairy cattle ( with subclinical mastitis )","bos_taurus_synonym",1,"host_associated,disease","20231103_v2","Host",9913
"dairy cattle bulk tank milk","bos_taurus_synonym",1,"food,drink","20231103_v2","IsolationSource",-1
"dairy cattle subclinical mastitis","ete4,inmapping,wratio",1,"host_associated,disease",2024,"type",9913
"dairy cow","ete4,wratio,common",1,"host_associated",2024,"type",9913
"dairy cow feces","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9913
"dairy environment","ete4,inmapping,token_set_ratio",1,"food,drink",2024,"type",-1
"dairy farm","not_assigned",1,"food",20231103,"IsolationSource",-1
"dairy fermentation","not_assigned",1,"food,fermented",20231103,"IsolationSource",-1
"dairy goat persistent mastitis therapy enrofloxacin","ete4,inmapping,token_set_ratio",0,"food,drink,disease",2024,"type",-1
"dairy product","not_assigned",1,"food",20231103,"IsolationSource",-1
"dairy starter","not_assigned",1,"food",20231103,"IsolationSource",-1
"dairy starter culture","ete4,token_set_ratio,sci",0,"food,cell_culture",2024,"type",-1
"dandelion kimchi","ete4,token_set_ratio,common",0,"food",2024,"type",-1
"danio rerio","ete3",1,"host_associated",20231103,"Host",7955
"date palm","ncbi_taxonomy",1,"host_associated",20231103,"Host",42345
"date palm rhizospheric soil","ete4,inmapping,token_set_ratio",0,"host_associated,soil,rhizosphere",2024,"type",42345
"datisca glomerata","ete3",1,"host_associated",20231103,"Host",34297
"daucus carota","ete3",1,"host_associated","20231103_v2","Host",4039
"dead","not_assigned",1,,20231103,"Host",-1
"dead ?","not_assigned",1,,20231103,"Host",-1
"dead fish aquarium philadelphia","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",7742
"dead larva","ete4,token_set_ratio,sci",0,"material,organic",2024,"type",-1
"deang pickled","not_assigned",1,"food",20231103,"IsolationSource",-1
"decayed wood","ete4,inmapping,wratio",,"material,organic",2024,"type",-1
"decubitus swab","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",-1
"decubitus ulcer","ete4,inmapping,token_set_ratio",0,"host_associated,skin,disease",2024,"type",-1
"deep sea","not_assigned",1,"aquatic,marine,sea",20231103,"IsolationSource",-1
"deep sea cold seep","fuzzy_common",1,"host_associated",20231103,"IsolationSource",1298647
"deep sea hot vent","ete4,inmapping,token_set_ratio",0,"aquatic,marine,sea,spring,hot",2024,"type",-1
"deep sea sediment","ete4,inmapping,token_set_ratio",0,"aquatic,marine,sea,sediment",2024,"type",-1
"deep sea sediment sample central indian ridge","ete4,inmapping,token_set_ratio",0,"aquatic,marine,sea,sediment,location",2024,"type",-1
"deep seawater","environmental",1,"aquatic,marine,sea",20231103,"IsolationSource",-1
"deep seawater mariana trench","environmental",1,"aquatic,marine,sea",20231103,"IsolationSource",-1
"deep subsurface","not_assigned",1,"aquatic,marine,sea",20231103,"IsolationSource",-1
"deep subsurface fluid","ete4,inmapping,wratio",1,"aquatic,marine,sea",2024,"type",-1
"deep venous catheter","ete4,inmapping,token_set_ratio",0,"host_associated,circulatory_system,blood",2024,"type",-1
"deep wound","not_assigned",1,"host_associated","20231103_v2","IsolationSource",-1
"deep wound lesion","ete4,inmapping,token_set_ratio",0,"host_associated,wound",2024,"type",-1
"deepsea hydrothermal","not_assigned",1,"aquatic,marine,sea,spring",20231103,"IsolationSource",-1
"deepsea hydrothermal vent","ete4,inmapping,wratio",1,"aquatic,marine,sea,spring",2024,"type",-1
"deepsea hydrothermal vent chimney depth 2630 meter eastpacific rise","environmental",1,"aquatic,marine,sea,spring,location",20231103,"IsolationSource",-1
"deepsea hydrothermal vent chimney iheya ridge okinawa trough","ete4,inmapping,token_set_ratio",0,"aquatic,marine,sea,spring,location",2024,"type",-1
"deepsea sediment","ete4,token_set_ratio,sci",0,"aquatic,marine,sea,sediment",2024,"type",-1
"deepsea water","environmental",1,"aquatic,marine,sea",20231103,"IsolationSource",-1
"deer","ncbi_taxonomy",1,"host_associated",20231103,"Host",9850
"degraded sugar","not_assigned",1,"food",20231103,"IsolationSource",-1
"degraded sugar thick juice","ete4,inmapping,token_set_ratio",1,"food,drink",2024,"type",-1
"deinagkistrodon acutus","ete3",1,"host_associated",20231103,"Host",36307
"delia radicum","ete3",1,"host_associated","20231103_v2","Host",30064
"delia radicum intestine","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system",2024,"type",30064
"delichon urbicum","ete3",1,"host_associated",20231103,"Host",88116
"delphinapterus leucas ( beluga whale )","ete4,inmapping,wratio",1,"host_associated",2024,"host_name",9749
"dendrobium","ete3",1,"host_associated",20231103,"Host",37818
"dendrobium officinale","ete3",1,"host_associated",20231103,"IsolationSource",142615
"dendrobium officinale kimura et migo","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",142615
"dendrolimus sibericus","fuzzy_sci",1,"host_associated",20231103,"IsolationSource",420341
"denitrifying , sulfideoxidizing effluenttreatment plant","ete4,inmapping,token_set_ratio",0,"wastewater,wwtp",2024,"type",-1
"denmark","not_assigned",1,"location","20231103_v2","IsolationSource",-1
"dental plaque","not_assigned",1,"host_associated,oral",20231103,"IsolationSource",-1
"dental root canal","ete4,inmapping,token_set_ratio",0,"host_associated,oral",2024,"type",-1
"dental water pipeline","not_assigned",1,"aquatic",20231103,"Host",-1
"derived","not_assigned",1,,20231103,"IsolationSource",-1
"derived cip 106327 ( collection de linstitute pasteur , paris , france )","ete4,token_set_ratio,sci",0,"cell_culture",2024,"type",-1
"derived food","not_assigned",1,"food",20231103,"IsolationSource",-1
"derived parental isolate ec0026b laboratory .","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"derived parental isolate ec0880b laboratory .","ete4,inmapping,token_set_ratio",0,,2024,"type",-1
"derived strain s4454","not_assigned",1,"cell_culture",20231103,"IsolationSource",-1
"dermacentor andersoni","ete3",1,"host_associated",20231103,"Host",34620
"dermatophagoides farinae","ete3",1,"host_associated",20231103,"Host",6954
"dermis","not_assigned",0,"host_associated,skin",2024,"type",-1
"desert , underside quartz rock","ete4,inmapping,token_set_ratio",0,"terrestrial,desert,material,inorganic",2024,"type",-1
"desert land","not_assigned",0,"terrestrial,desert",20231103,"IsolationSource",-1
"desert soil","environmental",1,"terrestrial,desert,soil",20231103,"IsolationSource",-1
"desmanthus virgatus","ete3",1,"host_associated",20231103,"Host",196661
"diagnostic case submission","not_assigned",0,,2024,"type",-1
"dialysis fluid","not_assigned",1,"host_associated",20231103,"IsolationSource",-1
"diaphorina citri","ete3",1,"host_associated",20231103,"Host",121845
"diarrhea blood","ete4,inmapping,token_set_ratio",1,"host_associated,circulatory_system,blood",2024,"type",-1
"diarrhea feces calf","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal,disease",2024,"type",9913
"diarrhea outbreak food poisoning","human_synonym",1,"host_associated,disease",20231103,"IsolationSource",9606
"diarrheal patient","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal,disease",2024,"type",9606
"diarrheal snake","not_assigned",0,"host_associated,disease",20231103,"IsolationSource",8570
"diarrheal snake diarrheal snake hunan","ete4,inmapping,token_set_ratio",1,"host_associated,disease",2024,"type",8570
"diarrheal stool","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system,fecal,disease",2024,"type",-1
"diary product","not_assigned",1,"food",20231103,"IsolationSource",-1
"diced lamb","not_assigned",0,"host_associated",20231103,"IsolationSource",9940
"diced radish","not_assigned",0,"host_associated",20231103,"IsolationSource",3726
"diced radish kimchi","ete4,inmapping,token_set_ratio",0,"food,fermented",2024,"type",-1
"dicentrarchus labrax","ete3",1,"host_associated",20231103,"Host",13489
"dichlobeniltreated soil sampled courtyard former plant nursery located bamcontaminated aquifer near hvidovre","environmental",1,"terrestrial,soil",20231103,"IsolationSource",-1
"dieseased fish","ete4,inmapping,wratio",0,"host_associated",2024,"type",7742
"digestive","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system",2024,"type",-1
"digestive system","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system",2024,"type",-1
"digestive tract","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system",2024,"type",-1
"digestive tract zophobas atratus larva","ete4,inmapping,wratio",0,"host_associated,gastrointestinal_system",2024,"type",7074
"digitaria eriantha","ete3",1,"host_associated",20231103,"Host",661175
"dinoflagellate","fuzzy_common",1,"host_associated",20231103,"Host",2864
"diphtheria nat","not_assigned",1,"host_associated",20231103,"Host",-1
"diphtheria nat . ref . center , institut pasteur , paris","not_assigned",1,"host_associated,location",20231103,"Host",-1
"diplosoma similis","fuzzy_sci",1,"host_associated",20231103,"IsolationSource",322856
"dipodomys californicus , california kangaroo rat","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",10017
"direct delivered sample","ete4,inmapping,token_set_ratio",1,,2024,"type",-1
"dirt","ete4,token_set_ratio,common",0,"material,inorganic",2024,"type",-1
"discomorpha sp .","fuzzy_sci",1,"host_associated",20231103,"Host",111239
"discus","ete3",1,"host_associated",20231103,"Host",84399
"diseased","not_assigned",1,,20231103,"IsolationSource",-1
"diseased atlantic salmon","ete4,inmapping,token_set_ratio",0,"host_associated,disease,location",2024,"type",8030
"diseased eel","not_assigned",0,"host_associated","20231103_v2","IsolationSource",7933
"diseased fish","not_assigned",0,"host_associated",20231103,"IsolationSource",7711
"diseased flounder","ete3",1,"host_associated,disease",20231103,"Host",8255
"diseased grass grub larva","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",-1
"diseased honeybee","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",7460
"diseased labeo","fuzzy_sci",1,"host_associated",20231103,"IsolationSource",342436
"diseased labeo rohita fish","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",84645
"diseased leaf","not_assigned",1,"host_associated",20231103,"IsolationSource",-1
"diseased leaf kiwifruit","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",3627
"diseased lettuce leaf","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",4236
"diseased olive flounder","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",8255
"diseased onion ( allium cepa )","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",4679
"diseased onion bulb","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",4679
"diseased psetta maximum","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",52904
"diseased rice","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",4530
"diseased shrimp","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",6685
"diseased tobacco leaf","ete4,inmapping,token_set_ratio",0,"host_associated,wound,disease",2024,"type",9606
"diseased tobacco leaf .","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",4097
"distal midgut region v4","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system,midgut",2024,"type",-1
"diuraphis noxia ( south african laboratory mutant )","ete4,inmapping,wratio",1,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( south african original biotype )","ete4,inmapping,wratio",1,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 2 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 3 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 4 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 5 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 6 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 7 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa biotype 8 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diuraphis noxia ( usa original biotype 1 )","ete4,inmapping,wratio",0,"host_associated,location",2024,"host_name",9606
"diversion fluid","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",-1
"dna isolated pure culture","ete4,inmapping,token_set_ratio",1,"cell_culture",2024,"type",-1
"dna sample","ete4,inmapping,token_set_ratio",0,,2024,"type",-1
"doenjang","not_assigned",1,"food,fermented",20231103,"IsolationSource",-1
"doenjang ( soybean paste )","ete4,token_set_ratio,common",0,"food",2024,"type",-1
"doenjangmeju","not_assigned",0,"food,fermented",2024,"type",-1
"dog","ete4,wratio,common",1,"host_associated",2024,"type",9615
"dog clinical isolate","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9615
"dog faeces","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9615
"dog feces","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9615
"dog mastitis","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",9615
"doi : 10.1111/evo.12148","not_assigned",1,"cell_culture",20231103,"IsolationSource",-1
"domestic chicken","not_assigned",0,"host_associated",20231103,"Host",9031
"domestic grey","not_assigned",1,"host_associated","20231103_v2","Host",9685
"domestic grey parrot","ete4,inmapping,wratio",1,"host_associated",2024,"host_name",9224
"domestic sheep","ncbi_taxonomy",1,"host_associated",20231103,"Host",9940
"domestic water","ete4,token_set_ratio,common",0,"aquatic,tapwater",2024,"type",89462
"domesticated , livestock : bovine : animal manure : agricultural farm","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9913
"donacia bicoloricornis","ete4,exact",1,"host_associated",2024,"host_name",225697
"donacia clavipes","ete4,exact",1,"host_associated",2024,"host_name",462182
"donacia crassipes","ete4,exact",1,"host_associated",2024,"host_name",558789
"donacia dentata","ete4,exact",1,"host_associated",2024,"host_name",558790
"donacia piscatrix","ete4,exact",1,"host_associated",2024,"host_name",558796
"donacia proxima","ete4,exact",1,"host_associated",2024,"host_name",558798
"donacia thalassina","ete4,exact",1,"host_associated",2024,"host_name",558800
